Job Role,Job Title,Student Qualification,Student Skills,Job Description
Business Analyst,System Analyst,Diploma in Software Engineering,"AWS, JavaScript, SQL, Python, CSS, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"HTML, Node.js, Java, Kubernetes, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"Docker, Node.js, Python",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"SQL, Excel, Docker, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Linux, CSS, Java, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Java, SQL, JavaScript, Docker, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Angular, Excel, React, Kubernetes, JavaScript, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"C#, Linux, AWS, Docker, Excel, Java",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"C#, SQL, Kubernetes, CSS, AWS, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"Docker, Angular, Java, Python, AWS, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Angular, CSS, C#, Excel, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Excel, AWS, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Angular, Node.js, JavaScript, C#, React, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Excel, HTML, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Node.js, HTML, Kubernetes, SQL, React",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"JavaScript, Linux, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Python, Angular, SQL, HTML, Kubernetes, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"JavaScript, Linux, Python, Kubernetes, Node.js, Power BI",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Node.js, Angular, HTML, AWS, Kubernetes, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"SQL, AWS, JavaScript, Java, Docker, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Kubernetes, C#, Excel, Angular, Java",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"Linux, HTML, Python, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"SQL, C#, JavaScript, React, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"SQL, C#, Python, Linux, Excel, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"AWS, C#, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"Power BI, Docker, React, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"React, Java, Kubernetes, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Angular, Python, CSS, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Java, Node.js, Kubernetes, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"Docker, Power BI, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Python, Kubernetes, Docker, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"JavaScript, AWS, Python, Node.js, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"Docker, Kubernetes, CSS, Linux, Python",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Kubernetes, Java, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"C#, SQL, HTML, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Kubernetes, React, Python, Power BI, Docker, C#",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Node.js, Python, Docker, C#, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"SQL, HTML, Power BI, Angular, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"React, HTML, Python, Excel, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Python, Kubernetes, Angular, Power BI, React",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Docker, CSS, Power BI",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Kubernetes, Node.js, React, Python, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"JavaScript, React, C#, CSS, AWS, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Java, React, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"JavaScript, SQL, C#",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Kubernetes, Docker, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"SQL, Linux, React, HTML, Node.js, C#",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Python, Linux, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"HTML, CSS, Excel, AWS, Python, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Linux, Python, React, Node.js, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Power BI, Kubernetes, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Node.js, Power BI, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"React, Java, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"HTML, JavaScript, Angular, Python",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"C#, Power BI, Docker, CSS, React",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"C#, React, Angular, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"C#, Java, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Python, Docker, AWS, C#",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"Angular, JavaScript, Linux, Java, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Python, C#, HTML, SQL, Node.js, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Power BI, Node.js, AWS, JavaScript, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Linux, Power BI, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"JavaScript, Node.js, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Node.js, SQL, Angular, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Excel, Java, AWS, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Java, C#, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Node.js, CSS, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"CSS, Power BI, C#, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Python, JavaScript, CSS, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"React, JavaScript, C#, CSS, Python, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Java, HTML, CSS, C#, SQL, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"AWS, React, Python",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"HTML, Java, AWS, Angular, C#, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Node.js, Excel, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Python, Kubernetes, C#, CSS, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"JavaScript, Python, Excel, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Docker, SQL, Node.js, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"Docker, Python, HTML, AWS, Java, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Node.js, Power BI, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"React, Node.js, AWS, Kubernetes, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"CSS, C#, SQL, Node.js, AWS, Java",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"React, SQL, CSS, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Node.js, React, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Node.js, Linux, SQL, Kubernetes, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"CSS, Angular, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Computer Science,"CSS, React, Python, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Excel, JavaScript, Docker, SQL, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Docker, JavaScript, CSS, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"HTML, AWS, Node.js, React, Docker, Python",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Kubernetes, Linux, Docker, Python, CSS, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"HTML, Node.js, Power BI",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"CSS, React, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"C#, JavaScript, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Node.js, Angular, Power BI, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"JavaScript, Java, AWS, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"JavaScript, Java, Docker, Power BI",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"CSS, HTML, Java, Node.js, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Linux, CSS, Power BI, JavaScript, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"SQL, C#, Java, HTML, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Docker, Kubernetes, Linux, React, C#",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"C#, JavaScript, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"JavaScript, Power BI, AWS, Angular, Python",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BSc in Information Systems,"Power BI, React, Java",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"C#, JavaScript, Kubernetes, AWS, HTML, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"CSS, Docker, Python, JavaScript, Java, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"C#, Power BI, Angular, Docker, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Node.js, C#, SQL, Power BI, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Power BI, HTML, Kubernetes, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,BEng in Computer Engineering,"Docker, Excel, AWS, Kubernetes, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"Node.js, JavaScript, React",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"HTML, Excel, Python, Docker, Power BI, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"HTML, JavaScript, Node.js, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"Node.js, React, Kubernetes, Linux, HTML, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"React, HTML, C#, JavaScript, Power BI, AWS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Linux, Node.js, Excel",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"SQL, Kubernetes, Node.js, Power BI, HTML, Java",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Java, HTML, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"AWS, JavaScript, Java, Node.js, React",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Power BI, Angular, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"Linux, Python, C#",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"JavaScript, Node.js, Power BI, SQL",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Excel, Java, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"Excel, AWS, CSS, Linux, HTML, Kubernetes",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"Node.js, Power BI, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Docker, Python, HTML, C#",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Node.js, SQL, Power BI, Docker",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,HND in IT,"React, C#, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"JavaScript, AWS, Python, Excel, Angular, Node.js",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"Power BI, C#, Docker, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"AWS, Python, HTML",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"CSS, Node.js, HTML, Python",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,HND in IT,"Kubernetes, SQL, Java, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"React, AWS, CSS, Java",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BEng in Computer Engineering,"Kubernetes, AWS, CSS, C#, Linux, Angular",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Computer Science,"SQL, CSS, Power BI, JavaScript",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,Diploma in Software Engineering,"Docker, Angular, CSS, Linux",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"SQL, Python, Excel, Java",Bridges business needs with technical implementation and processes.
Business Analyst,System Analyst,Diploma in Software Engineering,"SQL, AWS, CSS",Bridges business needs with technical implementation and processes.
Business Analyst,IT Business Analyst,BSc in Information Systems,"AWS, C#, Linux, CSS, React",Bridges business needs with technical implementation and processes.
