job_title,skills_from_col,skills_from_desc,skills_final,jaccard_overlap
Architect,['sustainable design principles energy efficiency leed certification green building materials environmental impact assessment'],[],['sustainable design principles energy efficiency leed certification green building materials environmental impact assessment'],0.0
Architectural Designer,['architectural drafting autocad 2d and 3d modeling blueprint reading building codes collaboration with architects detail-oriented'],[],['architectural drafting autocad 2d and 3d modeling blueprint reading building codes collaboration with architects detail-oriented'],0.0
Architectural Designer,"['interior design space planning color theory material selection cad software (e.g.', 'sketchup) client collaboration budget management']",[],"['interior design space planning color theory material selection cad software (e.g.', 'sketchup) client collaboration budget management']",0.0
Art Director,['art history and knowledge art curation and exhibition planning collections management art market trends cultural awareness'],[],['art history and knowledge art curation and exhibition planning collections management art market trends cultural awareness'],0.0
Art Director,['creative leadership art direction concept development visual design advertising and marketing expertise'],[],['creative leadership art direction concept development visual design advertising and marketing expertise'],0.0
Art Director,['graphic design typography user interface (ui) design adobe creative suite proficiency branding and visual identity creation'],[],['graphic design typography user interface (ui) design adobe creative suite proficiency branding and visual identity creation'],0.0
Art Teacher,['art education curriculum program development teacher training communication skills artistic expertise'],['curriculum development'],"['art education curriculum program development teacher training communication skills artistic expertise', 'curriculum development']",0.0
Art Teacher,['artistic skills teaching ability communication skills art history knowledge creativity'],['creativity'],"['artistic skills teaching ability communication skills art history knowledge creativity', 'creativity']",0.0
Art Teacher,['art instruction classroom management art techniques lesson planning student assessment'],[],['art instruction classroom management art techniques lesson planning student assessment'],0.0
Back-End Developer,"['api design and development restful api knowledge security protocols (oauth', 'jwt)']",[],"['api design and development restful api knowledge security protocols (oauth', 'jwt)']",0.0
Back-End Developer,"['java', 'python) database management api development', 'server-side programming languages (e.g.']",[],"['java', 'python) database management api development', 'server-side programming languages (e.g.']",0.0
Brand Ambassador,['brand promotion marketing knowledge communication skills sales techniques product knowledge'],['marketing'],"['brand promotion marketing knowledge communication skills sales techniques product knowledge', 'marketing']",0.0
Brand Ambassador,['product knowledge demonstrating skills sales techniques customer engagement communication skills'],[],['product knowledge demonstrating skills sales techniques customer engagement communication skills'],0.0
Brand Ambassador,['social media management content creation audience engagement marketing strategy communication skills'],['social media'],"['social media', 'social media management content creation audience engagement marketing strategy communication skills']",0.0
Brand Manager,"['adobe analytics) brand performance measurement consumer behavior analysis campaign effectiveness evaluation', 'google analytics', 'marketing analytics data analysis tools (e.g.']",['marketing'],"['adobe analytics) brand performance measurement consumer behavior analysis campaign effectiveness evaluation', 'google analytics', 'marketing', 'marketing analytics data analysis tools (e.g.']",0.0
Brand Manager,['brand strategy development market research and analysis competitive analysis brand positioning and messaging creative direction and collaboration'],[],['brand strategy development market research and analysis competitive analysis brand positioning and messaging creative direction and collaboration'],0.0
Brand Manager,['product branding and marketing product lifecycle management cross-functional team collaboration product launch planning market segmentation and targeting'],[],['product branding and marketing product lifecycle management cross-functional team collaboration product launch planning market segmentation and targeting'],0.0
Business Analyst,"['data analysis data modeling data visualization sql data tools (e.g.', 'tableau)']",[],"['data analysis data modeling data visualization sql data tools (e.g.', 'tableau)']",0.0
Business Analyst,['healthcare industry knowledge health data analysis hipaa regulations emr systems'],['healthcare'],"['healthcare', 'healthcare industry knowledge health data analysis hipaa regulations emr systems']",0.0
Business Analyst,['business process analysis requirement gathering data analysis communication skills'],[],['business process analysis requirement gathering data analysis communication skills'],0.0
Business Development Manager,['sales management sales strategy development team leadership'],['sales'],"['sales', 'sales management sales strategy development team leadership']",0.0
Business Development Manager,['partnership development negotiation and collaboration business development'],[],['partnership development negotiation and collaboration business development'],0.0
Chemical Analyst,['quality control quality assurance qc testing methods compliance standards root cause analysis documentation statistical analysis'],[],['quality control quality assurance qc testing methods compliance standards root cause analysis documentation statistical analysis'],0.0
Chemical Analyst,['research chemistry experimental design data interpretation chemical synthesis research protocols scientific writing problem-solving skills'],[],['research chemistry experimental design data interpretation chemical synthesis research protocols scientific writing problem-solving skills'],0.0
Chemical Engineer,"['iso) statistical analysis inspection techniques documenting quality issues root cause analysis communication with production teams problem-solving attention to detail technical knowledge', 'quality control processes quality assurance standards (e.g.']",[],"['iso) statistical analysis inspection techniques documenting quality issues root cause analysis communication with production teams problem-solving attention to detail technical knowledge', 'quality control processes quality assurance standards (e.g.']",0.0
Chemical Engineer,['research and development processes product innovation prototype development testing and experimentation data analysis collaboration with cross-functional teams problem-solving attention to detail technical expertise project management skills'],[],['research and development processes product innovation prototype development testing and experimentation data analysis collaboration with cross-functional teams problem-solving attention to detail technical expertise project management skills'],0.0
Civil Engineer,"['autocad', 'sap2000) building codes and standards project management structural integrity assessment', 'structural engineering principles structural analysis and design software (e.g.']",['compliance'],"['autocad', 'compliance', 'sap2000) building codes and standards project management structural integrity assessment', 'structural engineering principles structural analysis and design software (e.g.']",0.0
Civil Engineer,['water resources engineering hydrology and hydraulics environmental impact assessment water resource modeling software watershed management'],[],['water resources engineering hydrology and hydraulics environmental impact assessment water resource modeling software watershed management'],0.0
Content Writer,['content strategy content planning seo optimization content marketing analytics'],['distribution'],"['content strategy content planning seo optimization content marketing analytics', 'distribution']",0.0
Content Writer,['copywriting content creation seo marketing strategies creativity'],"['advertising', 'marketing']","['advertising', 'copywriting content creation seo marketing strategies creativity', 'marketing']",0.0
Content Writer,['technical documentation technical knowledge writing skills editing user manuals'],[],['technical documentation technical knowledge writing skills editing user manuals'],0.0
Copywriter,['creative writing copywriting advertising copy content creation brand storytelling marketing campaigns proofreading and editing'],"['content marketing', 'marketing']","['content marketing', 'creative writing copywriting advertising copy content creation brand storytelling marketing campaigns proofreading and editing', 'marketing']",0.0
Copywriter,['technical writing documentation user manuals technical specifications industry-specific terminology research skills'],[],['technical writing documentation user manuals technical specifications industry-specific terminology research skills'],0.0
Customer Service Manager,['customer experience strategy customer journey mapping feedback analysis user research metrics and kpis communication skills'],[],['customer experience strategy customer journey mapping feedback analysis user research metrics and kpis communication skills'],0.0
Customer Service Manager,['customer support team leadership customer satisfaction issue resolution performance metrics training and development'],['operations'],"['customer support team leadership customer satisfaction issue resolution performance metrics training and development', 'operations']",0.0
Customer Service Representative,['customer service call center operations problem-solving skills'],[],['customer service call center operations problem-solving skills'],0.0
Customer Service Representative,['live chat support online customer communication problem resolution'],[],['live chat support online customer communication problem resolution'],0.0
Customer Success Manager,['customer service problem-solving communication skills ticketing system usage product knowledge'],[],['customer service problem-solving communication skills ticketing system usage product knowledge'],0.0
Customer Success Manager,['onboarding process management new employee orientation training and development hr policies and procedures employee engagement strategies'],"['onboarding', 'training']","['onboarding', 'onboarding process management new employee orientation training and development hr policies and procedures employee engagement strategies', 'training']",0.0
Customer Support Specialist,['customer relationship management onboarding and training customer feedback analysis retention strategies cross-selling and upselling strong communication and empathy customer advocacy'],['customer success'],"['customer relationship management onboarding and training customer feedback analysis retention strategies cross-selling and upselling strong communication and empathy customer advocacy', 'customer success']",0.0
Customer Support Specialist,"['freshdesk) communication skills problem-solving and critical thinking ticket management knowledge base creation', 'technical troubleshooting customer support tools (e.g.', 'zendesk']",['communication'],"['communication', 'freshdesk) communication skills problem-solving and critical thinking ticket management knowledge base creation', 'technical troubleshooting customer support tools (e.g.', 'zendesk']",0.0
Data Analyst,"['data analysis and visualization tools (e.g.', 'power bi) sql and database querying business intelligence concepts data modeling and reporting strong analytical and problem-solving skills data-driven decision-making', 'tableau']",[],"['data analysis and visualization tools (e.g.', 'power bi) sql and database querying business intelligence concepts data modeling and reporting strong analytical and problem-solving skills data-driven decision-making', 'tableau']",0.0
Data Analyst,"['hadoop', 'machine learning algorithms and libraries (e.g.', 'pytorch) statistical analysis and modeling data preprocessing and cleaning big data technologies (e.g.', 'r)', 'scikit-learn', 'spark) data visualization strong programming skills (python', 'tensorflow']",[],"['hadoop', 'machine learning algorithms and libraries (e.g.', 'pytorch) statistical analysis and modeling data preprocessing and cleaning big data technologies (e.g.', 'r)', 'scikit-learn', 'spark) data visualization strong programming skills (python', 'tensorflow']",0.0
Data Engineer,"['big data technologies (hadoop', 'etc.) data processing and analysis distributed computing', 'spark']",[],"['big data technologies (hadoop', 'etc.) data processing and analysis distributed computing', 'spark']",0.0
Data Engineer,['data architecture design database management systems data modeling'],[],['data architecture design database management systems data modeling'],0.0
Data Engineer,"['etl (extract', 'load) processes data integration sql and scripting languages', 'transform']",['etl'],"['etl', 'etl (extract', 'load) processes data integration sql and scripting languages', 'transform']",0.0
Data Entry Clerk,['office management administrative tasks communication and organization'],"['document management', 'operations']","['document management', 'office management administrative tasks communication and organization', 'operations']",0.0
Data Entry Clerk,['records management data entry and retrieval attention to detail'],[],['records management data entry and retrieval attention to detail'],0.0
Data Scientist,"['data integration etl (extract', 'hadoop', 'load) big data technologies (e.g.', 'spark) database management data warehousing', 'transform']",[],"['data integration etl (extract', 'hadoop', 'load) big data technologies (e.g.', 'spark) database management data warehousing', 'transform']",0.0
Database Administrator,['data analysis database querying and reporting data visualization sql proficiency data quality assurance'],[],['data analysis database querying and reporting data visualization sql proficiency data quality assurance'],0.0
Database Administrator,"['database design and development sql and database querying data modeling programming languages (e.g.', 'java', 'python) data security and privacy regulations knowledge']",[],"['database design and development sql and database querying data modeling programming languages (e.g.', 'java', 'python) data security and privacy regulations knowledge']",0.0
Database Administrator,['database security measures data encryption and access control security compliance vulnerability assessment database auditing and monitoring'],['compliance'],"['compliance', 'database security measures data encryption and access control security compliance vulnerability assessment database auditing and monitoring']",0.0
Database Developer,"['cassandra) data modeling data migration performance tuning scalability distributed systems', 'mongodb', 'nosql databases (e.g.']",[],"['cassandra) data modeling data migration performance tuning scalability distributed systems', 'mongodb', 'nosql databases (e.g.']",0.0
Dental Hygienist,['dental hygiene knowledge teaching and instructional skills curriculum development student assessment clinical practice experience'],[],['dental hygiene knowledge teaching and instructional skills curriculum development student assessment clinical practice experience'],0.0
Dental Hygienist,['dental public health principles community outreach and education dental health program planning epidemiology knowledge public health regulations knowledge'],[],['dental public health principles community outreach and education dental health program planning epidemiology knowledge public health regulations knowledge'],0.0
Dental Hygienist,['periodontal therapy procedures patient care and communication dental instrumentation periodontal disease management oral health education'],[],['periodontal therapy procedures patient care and communication dental instrumentation periodontal disease management oral health education'],0.0
Digital Marketing Specialist,"['b testing and optimization email deliverability and compliance metrics tracking and analysis', 'constant contact) email campaign creation and segmentation a', 'email marketing platforms (e.g.', 'mailchimp']",['marketing'],"['b testing and optimization email deliverability and compliance metrics tracking and analysis', 'constant contact) email campaign creation and segmentation a', 'email marketing platforms (e.g.', 'mailchimp', 'marketing']",0.0
Digital Marketing Specialist,"['google analytics', 'search engine algorithms and ranking factors keyword research and analysis on-page and off-page seo optimization seo tools (e.g.', 'semrush) seo content strategy']",['seo'],"['google analytics', 'search engine algorithms and ranking factors keyword research and analysis on-page and off-page seo optimization seo tools (e.g.', 'semrush) seo content strategy', 'seo']",0.0
Digital Marketing Specialist,"['facebook', 'instagram) content creation and scheduling social media analytics and insights community engagement paid social advertising', 'social media platforms (e.g.', 'twitter']",['social media'],"['facebook', 'instagram) content creation and scheduling social media analytics and insights community engagement paid social advertising', 'social media', 'social media platforms (e.g.', 'twitter']",0.0
Electrical Designer,['electrical engineering circuit design electronics autocad proficiency problem-solving'],[],['electrical engineering circuit design electronics autocad proficiency problem-solving'],0.0
Electrical Designer,['lighting design architectural lighting lighting software proficiency creative lighting concepts technical knowledge'],[],['lighting design architectural lighting lighting software proficiency creative lighting concepts technical knowledge'],0.0
Electrical Designer,['pcb design electronics pcb layout software proficiency circuit design quality control'],[],['pcb design electronics pcb layout software proficiency circuit design quality control'],0.0
Electrical Engineer,['control system design plc programming automation instrumentation system integration'],[],['control system design plc programming automation instrumentation system integration'],0.0
Electrical Engineer,['electronics design pcb layout embedded systems circuit analysis troubleshooting'],[],['electronics design pcb layout embedded systems circuit analysis troubleshooting'],0.0
Electrical Engineer,['electrical engineering power system analysis renewable energy systems control systems safety regulations'],['distribution'],"['distribution', 'electrical engineering power system analysis renewable energy systems control systems safety regulations']",0.0
Email Marketing Specialist,"['dkim) deliverability metrics analysis troubleshooting deliverability issues communication skills data analysis attention to detail', 'email deliverability best practices spam filter testing list hygiene blacklist monitoring email authentication (e.g.', 'spf']",[],"['dkim) deliverability metrics analysis troubleshooting deliverability issues communication skills data analysis attention to detail', 'email deliverability best practices spam filter testing list hygiene blacklist monitoring email authentication (e.g.', 'spf']",0.0
Email Marketing Specialist,"['b testing campaign analytics copywriting html', 'css for email marketing automation communication skills data analysis attention to detail', 'email marketing strategies email marketing platforms (e.g.', 'hubspot) audience segmentation a', 'mailchimp']",['marketing'],"['b testing campaign analytics copywriting html', 'css for email marketing automation communication skills data analysis attention to detail', 'email marketing strategies email marketing platforms (e.g.', 'hubspot) audience segmentation a', 'mailchimp', 'marketing']",0.0
Email Marketing Specialist,"['marketing automation platforms (e.g.', 'marketo', 'pardot) lead nurturing workflow automation crm integration analytics and reporting email marketing campaign optimization marketing strategy communication skills problem-solving attention to detail']",['marketing'],"['marketing', 'marketing automation platforms (e.g.', 'marketo', 'pardot) lead nurturing workflow automation crm integration analytics and reporting email marketing campaign optimization marketing strategy communication skills problem-solving attention to detail']",0.0
Environmental Consultant,['environmental compliance regulatory requirements environmental impact assessments reporting environmental regulations auditing'],"['compliance', 'regulatory']","['compliance', 'environmental compliance regulatory requirements environmental impact assessments reporting environmental regulations auditing', 'regulatory']",0.0
Environmental Consultant,['environmental impact analysis data collection and analysis environmental regulations reporting gis (geographic information systems) technical writing'],[],['environmental impact analysis data collection and analysis environmental regulations reporting gis (geographic information systems) technical writing'],0.0
Environmental Consultant,['sustainability consulting sustainability assessments sustainable practices green building standards environmental policies client communication'],[],['sustainability consulting sustainability assessments sustainable practices green building standards environmental policies client communication'],0.0
Environmental Engineer,['environmental assessments regulatory compliance environmental impact analysis'],"['compliance', 'regulatory']","['compliance', 'environmental assessments regulatory compliance environmental impact analysis', 'regulatory']",0.0
Environmental Engineer,['sustainability practices environmental management systems green certifications'],[],['sustainability practices environmental management systems green certifications'],0.0
Event Coordinator,['corporate event planning corporate branding and messaging speaker and entertainment booking audiovisual production team coordination crisis management budgeting and financial management client communication creativity problem-solving attention to detail'],['logistics'],"['corporate event planning corporate branding and messaging speaker and entertainment booking audiovisual production team coordination crisis management budgeting and financial management client communication creativity problem-solving attention to detail', 'logistics']",0.0
Event Coordinator,['event planning and coordination budget management vendor negotiation venue selection and management timeline and logistics planning marketing and promotion risk management client communication creativity problem-solving attention to detail'],['logistics'],"['event planning and coordination budget management vendor negotiation venue selection and management timeline and logistics planning marketing and promotion risk management client communication creativity problem-solving attention to detail', 'logistics']",0.0
Event Coordinator,['wedding planning vendor coordination ceremony and reception logistics wedding etiquette budget management timeline planning attention to detail client communication creativity problem-solving emotional intelligence event design'],[],['wedding planning vendor coordination ceremony and reception logistics wedding etiquette budget management timeline planning attention to detail client communication creativity problem-solving emotional intelligence event design'],0.0
Event Planner,['corporate event planning corporate branding corporate communication audiovisual equipment crisis management'],[],['corporate event planning corporate branding corporate communication audiovisual equipment crisis management'],0.0
Event Planner,['event planning vendor coordination budget management marketing and promotion logistics'],['logistics'],"['event planning vendor coordination budget management marketing and promotion logistics', 'logistics']",0.0
Event Planner,['wedding planning venue selection catering and menu planning floral and decor design wedding etiquette'],[],['wedding planning venue selection catering and menu planning floral and decor design wedding etiquette'],0.0
Executive Assistant,['office administration and management budgeting and expense tracking team coordination and supervision facility management vendor and supplier relations'],"['budgeting', 'operations']","['budgeting', 'office administration and management budgeting and expense tracking team coordination and supervision facility management vendor and supplier relations', 'operations']",0.0
Executive Assistant,['organizational and time management skills calendar and appointment management communication and correspondence travel coordination discretion and confidentiality'],[],['organizational and time management skills calendar and appointment management communication and correspondence travel coordination discretion and confidentiality'],0.0
Executive Assistant,['project management communication time management organization problem-solving'],['communication'],"['communication', 'project management communication time management organization problem-solving']",0.0
Family Lawyer,['child custody law family law legal advocacy negotiation court representation legal research client counseling case preparation'],['legal'],"['child custody law family law legal advocacy negotiation court representation legal research client counseling case preparation', 'legal']",0.0
Family Lawyer,['mediation conflict resolution negotiation communication skills neutrality problem-solving legal knowledge mediation techniques'],['communication'],"['communication', 'mediation conflict resolution negotiation communication skills neutrality problem-solving legal knowledge mediation techniques']",0.0
Family Nurse Practitioner,['geriatric healthcare geriatric assessment geriatric treatment elderly patient care geriatric pharmacology'],['healthcare'],"['geriatric healthcare geriatric assessment geriatric treatment elderly patient care geriatric pharmacology', 'healthcare']",0.0
Family Nurse Practitioner,['medical diagnosis patient care medical record-keeping communication skills empathy and compassion'],['medical'],"['medical', 'medical diagnosis patient care medical record-keeping communication skills empathy and compassion']",0.0
Finance Manager,['accounting principles financial reporting team management budgeting financial analysis'],"['accounting', 'compliance']","['accounting', 'accounting principles financial reporting team management budgeting financial analysis', 'compliance']",0.0
Finance Manager,['financial planning investment strategies team leadership wealth management client advisory skills'],[],['financial planning investment strategies team leadership wealth management client advisory skills'],0.0
Finance Manager,['treasury management cash flow analysis risk management financial forecasting banking relations'],"['operations', 'risk management']","['operations', 'risk management', 'treasury management cash flow analysis risk management financial forecasting banking relations']",0.0
Financial Advisor,['investment strategies portfolio management financial planning risk assessment regulatory compliance'],[],['investment strategies portfolio management financial planning risk assessment regulatory compliance'],0.0
Financial Advisor,['retirement planning social security investment products tax planning estate planning'],[],['retirement planning social security investment products tax planning estate planning'],0.0
Financial Advisor,['wealth management strategies asset allocation estate planning tax management client relationship management'],[],['wealth management strategies asset allocation estate planning tax management client relationship management'],0.0
Financial Analyst,['budget planning financial forecasting excel proficiency data analysis'],['compliance'],"['budget planning financial forecasting excel proficiency data analysis', 'compliance']",0.0
Financial Analyst,['financial planning investment strategy retirement planning tax knowledge'],[],['financial planning investment strategy retirement planning tax knowledge'],0.0
Financial Analyst,['financial analysis investment evaluation portfolio management data analysis'],[],['financial analysis investment evaluation portfolio management data analysis'],0.0
Financial Controller,"['accounting financial reporting financial audits tax compliance accounting software (e.g.', 'oracle) gaap (generally accepted accounting principles)', 'sap']","['accounting', 'compliance']","['accounting', 'accounting financial reporting financial audits tax compliance accounting software (e.g.', 'compliance', 'oracle) gaap (generally accepted accounting principles)', 'sap']",0.0
Financial Controller,"['excel', 'financial management budgeting financial analysis financial reporting risk management financial software (e.g.', 'quickbooks) strategic planning']","['budgeting', 'compliance', 'finance', 'operations']","['budgeting', 'compliance', 'excel', 'finance', 'financial management budgeting financial analysis financial reporting risk management financial software (e.g.', 'operations', 'quickbooks) strategic planning']",0.0
Financial Planner,['tax planning strategies tax law knowledge financial analysis retirement planning estate planning client relationship management tax optimization communication skills attention to detail tax software proficiency regulatory compliance'],[],['tax planning strategies tax law knowledge financial analysis retirement planning estate planning client relationship management tax optimization communication skills attention to detail tax software proficiency regulatory compliance'],0.0
Front-End Developer,"['wcag) assistive technologies accessibility testing tools html and css for accessibility aria (accessible rich internet applications) user experience (ux) for accessibility usability testing with individuals with disabilities collaboration attention to detail', 'web accessibility standards (e.g.']",['compliance'],"['compliance', 'wcag) assistive technologies accessibility testing tools html and css for accessibility aria (accessible rich internet applications) user experience (ux) for accessibility usability testing with individuals with disabilities collaboration attention to detail', 'web accessibility standards (e.g.']",0.0
Front-End Developer,"['css', 'html', 'javascript) interaction design user testing responsive design usability testing collaboration attention to detail', 'user interface (ui) design user experience (ux) design web design principles prototyping and wireframing front-end development languages (e.g.']","['ui design', 'ux design']","['css', 'html', 'javascript) interaction design user testing responsive design usability testing collaboration attention to detail', 'ui design', 'user interface (ui) design user experience (ux) design web design principles prototyping and wireframing front-end development languages (e.g.', 'ux design']",0.0
Front-End Developer,"['adobe creative suite) html and css responsive design user interface (ui) principles visual communication typography color theory creativity attention to detail collaboration', 'web design concepts graphic design software (e.g.']",[],"['adobe creative suite) html and css responsive design user interface (ui) principles visual communication typography color theory creativity attention to detail collaboration', 'web design concepts graphic design software (e.g.']",0.0
Front-End Engineer,"['angular) dom manipulation ajax debugging and troubleshooting', 'javascript programming frontend development frontend frameworks (e.g.', 'react']",['javascript'],"['angular) dom manipulation ajax debugging and troubleshooting', 'javascript', 'javascript programming frontend development frontend frameworks (e.g.', 'react']",0.0
Graphic Designer,"['adobe indesign', 'illustrator) layout and composition print production processes color theory and management attention to detail print industry knowledge', 'print design software (e.g.']",['creativity'],"['adobe indesign', 'creativity', 'illustrator) layout and composition print production processes color theory and management attention to detail print industry knowledge', 'print design software (e.g.']",0.0
Graphic Designer,"['figma) usability testing information architecture interaction design mobile and responsive design', 'sketch', 'user interface (ui) design user experience (ux) design wireframing and prototyping tools (e.g.']","['ui design', 'ux design']","['figma) usability testing information architecture interaction design mobile and responsive design', 'sketch', 'ui design', 'user interface (ui) design user experience (ux) design wireframing and prototyping tools (e.g.', 'ux design']",0.0
Graphic Designer,"['adobe creative suite) web design principles user interface (ui) design visual communication typography creativity and artistic skills', 'graphic design tools (e.g.']","['ui design', 'ux design']","['adobe creative suite) web design principles user interface (ui) design visual communication typography creativity and artistic skills', 'graphic design tools (e.g.', 'ui design', 'ux design']",0.0
HR Coordinator,['employee benefits administration benefits compliance hris benefits communication'],['compliance'],"['compliance', 'employee benefits administration benefits compliance hris benefits communication']",0.0
HR Coordinator,['recruitment process candidate screening applicant tracking systems communication'],"['onboarding', 'recruitment']","['onboarding', 'recruitment', 'recruitment process candidate screening applicant tracking systems communication']",0.0
HR Coordinator,['training program coordination training material development learning management systems'],['training'],"['training', 'training program coordination training material development learning management systems']",0.0
HR Generalist,['human resources recruitment employee onboarding hris (hr information systems) record keeping communication skills'],"['human resources', 'onboarding', 'recruitment', 'training']","['human resources', 'human resources recruitment employee onboarding hris (hr information systems) record keeping communication skills', 'onboarding', 'recruitment', 'training']",0.0
HR Manager,['training and development performance management learning programs employee engagement coaching and mentoring'],['training'],"['training', 'training and development performance management learning programs employee engagement coaching and mentoring']",0.0
HR Manager,['employment law knowledge compliance management auditing skills employee relations communication skills'],"['compliance', 'human resources', 'legal']","['compliance', 'employment law knowledge compliance management auditing skills employee relations communication skills', 'human resources', 'legal']",0.0
HR Manager,['strategic hr planning employee relations talent management hr policy development leadership skills'],"['human resources', 'strategy', 'talent acquisition']","['human resources', 'strategic hr planning employee relations talent management hr policy development leadership skills', 'strategy', 'talent acquisition']",0.0
Human Resources Manager,['employee conflict resolution hr compliance employee engagement communication skills'],[],['employee conflict resolution hr compliance employee engagement communication skills'],0.0
Human Resources Manager,['hr policies and procedures employee relations recruitment communication skills'],"['compliance', 'human resources', 'legal', 'recruitment']","['compliance', 'hr policies and procedures employee relations recruitment communication skills', 'human resources', 'legal', 'recruitment']",0.0
Human Resources Manager,['talent sourcing interviewing onboarding recruitment strategies hr software'],"['recruitment', 'talent acquisition']","['recruitment', 'talent acquisition', 'talent sourcing interviewing onboarding recruitment strategies hr software']",0.0
Interior Designer,['commercial interior design workplace ergonomics building codes and regulations knowledge sustainable design principles autocad and revit proficiency'],[],['commercial interior design workplace ergonomics building codes and regulations knowledge sustainable design principles autocad and revit proficiency'],0.0
Interior Designer,"['and equipment) selection customer experience design', 'fixtures', 'hospitality interior design hotel and restaurant design branding and theme integration ff&e (furniture']",[],"['and equipment) selection customer experience design', 'fixtures', 'hospitality interior design hotel and restaurant design branding and theme integration ff&e (furniture']",0.0
Interior Designer,['residential interior design space planning color theory and selection furniture and materials selection 3d modeling and rendering'],[],['residential interior design space planning color theory and selection furniture and materials selection 3d modeling and rendering'],0.0
Inventory Analyst,['inventory management stock control demand forecasting inventory tracking systems supply chain coordination problem-solving skills'],['operations'],"['inventory management stock control demand forecasting inventory tracking systems supply chain coordination problem-solving skills', 'operations']",0.0
Investment Advisor,['financial planning investment knowledge relationship management communication skills analytical skills'],[],['financial planning investment knowledge relationship management communication skills analytical skills'],0.0
Investment Analyst,['investment management financial analysis risk assessment asset allocation portfolio optimization'],[],['investment management financial analysis risk assessment asset allocation portfolio optimization'],0.0
Investment Analyst,['risk assessment data analysis financial modeling risk management tools regulatory compliance knowledge'],[],['risk assessment data analysis financial modeling risk management tools regulatory compliance knowledge'],0.0
Investment Banker,['financial analysis data analysis financial modeling'],"['budgeting', 'financial analysis']","['budgeting', 'financial analysis', 'financial analysis data analysis financial modeling']",0.0
Investment Banker,['investment analysis portfolio management risk assessment'],[],['investment analysis portfolio management risk assessment'],0.0
Investment Banker,['mergers and acquisitions (m&a) expertise due diligence valuation techniques'],[],['mergers and acquisitions (m&a) expertise due diligence valuation techniques'],0.0
IT Administrator,['system administration network administration troubleshooting security management server maintenance backup and recovery'],[],['system administration network administration troubleshooting security management server maintenance backup and recovery'],0.0
