company,employmenttype_jobstatus,jobdescription,joblocation_address,jobtitle,postdate,skills
Access Staffing,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2",".Net Developer/ CRM AnalystJust in!All new position exists at prestigious NYC financial services firm for highly skilled C#, .Net developer to join expanding team of talented technologists. Company seeks motivated, experienced professional with 6 to 12 years of development experience in C#, .Net as well as an expertise in PL/SQL and TSQL and solid knowledge and experience in developing data analytics for either CRM or Data Warehousing projects. Diverse duties include design, development, support, upgrades, develop functional enhancements, define test conditions, troubleshoot issues, develop documentation, translate business needs into detailed written requirements and more, Must have solid SQL skills with the ability to understand ER diagrams and write queries. Experience with ant integration tools such as SSIS or Informatica helpful as well as an understanding of any data profiling tools. Highly visible position offers a great opportunity to work in state of the art environment. $'s OPEN plus extras! Please contact Mike Weinstein at mweinstein@accessstaffing.com or 646.307.8942. ","New York, NY",.Net Developer/ CRM Analyst Just in!,6 hours ago,Must have solid SQL skills with the ability to understand ER diagrams and write queries. Experience with ant integration tools such as SSIS or Informatica helpful
Access Staffing,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2",".Net Developer/ CRM AnalystJust in!All new position exists at prestigious NYC financial services firm for highly skilled C#, .Net developer to join expanding team of talented technologists. Company seeks motivated, experienced professional with 6 to 12 years of development experience in C#, .Net as well as an expertise in PL/SQL and TSQL and solid knowledge and experience in developing data analytics for either CRM or Data Warehousing projects. Diverse duties include design, development, support, upgrades, develop functional enhancements, define test conditions, troubleshoot issues, develop documentation, translate business needs into detailed written requirements and more, Must have solid SQL skills with the ability to understand ER diagrams and write queries. Experience with ant integration tools such as SSIS or Informatica helpful as well as an understanding of any data profiling tools. Highly visible position offers a great opportunity to work in state of the art environment. $'s OPEN plus extras! Please contact Mike Weinstein at mweinstein@accessstaffing.com or 646.307.8942. ","New York, NY",.Net Developer/ CRM Analyst Just in!,7 hours ago,Must have solid SQL skills with the ability to understand ER diagrams and write queries. Experience with ant integration tools such as SSIS or Informatica helpful
"Five Bridges, LLC",Full Time,".Net Software Developer – Mid-LevelFive Bridges Advisors , LLC (""Five Bridges"") is an independent analytics and advisory firm headquartered just outside Washington, D.C. Founded by industry veterans in 2008, our team averages two decades of mortgage market experience covering nearly every discipline from origination, servicing, workouts, loss mitigation, structuring, research, modeling, trading and portfolio and risk management.We currently serve central banks, law firms, broker/dealers, institutional investors, government and other market participants by providing independent, expert solutions on a wide range of topics impacting the housing, real estate and residential and commercial mortgage markets. Five Bridges is expanding our team to meet growing market demand. We are seeking talented, mid-level and senior software engineers, with a proven track record in the development of enterprise-level ASP.NET applications. Assistance is needed to help maintain existing applications, implement major system enhancements as well as develop new modules to add to our existing application suite. Motivated candidates, desiring to be part of a dynamic and growing team, are encouraged to apply. Ideal candidates will possess strong analytical, design, and coding skills as well as experience with Agile software development methodologies.Software developers at Five Bridges collaborate with product owners and subject matter experts that are industry leaders in the area of mortgage and consumer analytics. Responsibilities include technology evaluations, resource estimations, software design, coding, and the creation and maintenance of both unit and integration tests for Five Bridges’ Javelin platform suite. Five Bridges follow the Scrum methodology of Agile development. Therefore, developers are expected to participate sprint planning, story estimation, sprint reviews, retrospectives and daily scrum meetings.Bachelor’s degree in CS, CIS or related technical field plus 5 to 7 years of relevant industry experience is required.Qualified applicants will have recent, relevant experience in all of the following technologies:Web Frameworks: MVC and/or AngularJSDatabases: Microsoft SQL ServerLanguages: C#Web Technologies: HTML and JavaScript.NET Technologies: Entity Framework and LinqGreater consideration will be given to candidates with prior experience implementing large-scale systems and with experience in the following areas:Web Frameworks: ASP.NET/Web FormsInteroperability: WCF and Web APIWeb Technologies: CSS, AJAX, and JQueryDatabases: NoSQL databases.NET Technologies: Asynchronous programming using async/awaitOther Technologies: Telerik Kendo controls, Dependency Injection, and C# and JavaScript testing frameworksDeveloping applications for deployment to Amazon Web ServicesBuilding scalable applicationsDeveloping applications for deployment to/using Amazon Web Services (AWS)Amenities include:Relaxed working environmentWalking distance to the best that downtown Bethesda has to offer including a variety of restaurants, parks, theaters, galleries and shopsMetro accessible (2 blocks)Building complex offers covered parking, convenience stores, 2 delis and free access to on-site gymJob Type: Full-timeSalary: $100,000.00 /yearRequired education:Bachelor'sRequired experience:Microsoft SQL Server: 5 yearsC#: 5 yearsMVC and/or AngularJS: 5 years.NET Technologies: 5 yearsHTML and JavaScript: 1 year  ","Bethesda, MD",.Net Software Developer Mid-Level,17 hours ago,"Bachelors degree in CS, CIS or related technical field plus 5 or more years of relevant industry experience is required."
"Five Bridges, LLC",Full Time,".Net Software Developer – Mid-LevelFive Bridges Advisors , LLC (""Five Bridges"") is an independent analytics and advisory firm headquartered just outside Washington, D.C. Founded by industry veterans in 2008, our team averages two decades of mortgage market experience covering nearly every discipline from origination, servicing, workouts, loss mitigation, structuring, research, modeling, trading and portfolio and risk management.We currently serve central banks, law firms, broker/dealers, institutional investors, government and other market participants by providing independent, expert solutions on a wide range of topics impacting the housing, real estate and residential and commercial mortgage markets. Five Bridges is expanding our team to meet growing market demand. We are seeking talented, mid-level and senior software engineers, with a proven track record in the development of enterprise-level ASP.NET applications. Assistance is needed to help maintain existing applications, implement major system enhancements as well as develop new modules to add to our existing application suite. Motivated candidates, desiring to be part of a dynamic and growing team, are encouraged to apply. Ideal candidates will possess strong analytical, design, and coding skills as well as experience with Agile software development methodologies.Software developers at Five Bridges collaborate with product owners and subject matter experts that are industry leaders in the area of mortgage and consumer analytics. Responsibilities include technology evaluations, resource estimations, software design, coding, and the creation and maintenance of both unit and integration tests for Five Bridges’ Javelin platform suite. Five Bridges follow the Scrum methodology of Agile development. Therefore, developers are expected to participate sprint planning, story estimation, sprint reviews, retrospectives and daily scrum meetings.Bachelor’s degree in CS, CIS or related technical field plus 5 to 7 years of relevant industry experience is required.Qualified applicants will have recent, relevant experience in all of the following technologies:Web Frameworks: MVC and/or AngularJSDatabases: Microsoft SQL ServerLanguages: C#Web Technologies: HTML and JavaScript.NET Technologies: Entity Framework and LinqGreater consideration will be given to candidates with prior experience implementing large-scale systems and with experience in the following areas:Web Frameworks: ASP.NET/Web FormsInteroperability: WCF and Web APIWeb Technologies: CSS, AJAX, and JQueryDatabases: NoSQL databases.NET Technologies: Asynchronous programming using async/awaitOther Technologies: Telerik Kendo controls, Dependency Injection, and C# and JavaScript testing frameworksDeveloping applications for deployment to Amazon Web ServicesBuilding scalable applicationsDeveloping applications for deployment to/using Amazon Web Services (AWS)Amenities include:Relaxed working environmentWalking distance to the best that downtown Bethesda has to offer including a variety of restaurants, parks, theaters, galleries and shopsMetro accessible (2 blocks)Building complex offers covered parking, convenience stores, 2 delis and free access to on-site gymJob Type: Full-timeSalary: $100,000.00 /yearRequired education:Bachelor'sRequired experience:Microsoft SQL Server: 5 yearsC#: 5 yearsMVC and/or AngularJS: 5 years.NET Technologies: 5 yearsHTML and JavaScript: 1 year  ","Bethesda, MD",.Net Software Developer Mid-Level,3 days ago,"Bachelors degree in CS, CIS or related technical field plus 5 or more years of relevant industry experience is required."
"Overture Partners, LLC","Contract Independent, 1 Year",".NET Web Developer, InvestmentsLocation: Downtown Boston, Financial DistrictDuration: 1 yearJob# 15490This role will combine both new development and support of existing Investment systems and will have direct contact with the end users. The primary technologies being used on a daily basis include SQL, C#, Java Script, batch command scripting, Angular, Excel VBA, GitHub.  The position will be a combination of front-end and middle tier to backend.  This is a very fast-paced group; recently went to Agile, 2 week sprints, still in a learning period with this as a team.  The framework will be in place when the consultant joins the team.Also in terms of requirement, if you have someone with Code Red (FactSet RMS) development experience it’ll be a plus.  Looking for a candidate with 5+ years, the industry experience is as important as the technical.  Minimum BS/CS with 8+ years of experience with .NET web development.Proven experience in design, development and implementation of large-scale and multi-user applications.Strong experience with data modeling and problem solving skillsVery strong with C#, .NET and ASP.NET frameworkGood experience with RESTful web services using .NET Web APIVery strong in GUI web development using JavaScript and AngularJS 1 or AngularJS 2 / SPAExpertise in relational database design and building database stored procedures using T/SQLExcellent written and oral communication skills","Boston, MA",".NET Web Developer, Investments",1 day ago,"SQL, C#, Java Scrip, Angular, Excel VBA, GitHub, RESTful, ASP.NET"
"Overture Partners, LLC","Contract Independent, 1 Year",".NET Web Developer, InvestmentsLocation: Downtown Boston, Financial DistrictDuration: 1 yearJob# 15490This role will combine both new development and support of existing Investment systems and will have direct contact with the end users. The primary technologies being used on a daily basis include SQL, C#, Java Script, batch command scripting, Angular, Excel VBA, GitHub.  The position will be a combination of front-end and middle tier to backend.  This is a very fast-paced group; recently went to Agile, 2 week sprints, still in a learning period with this as a team.  The framework will be in place when the consultant joins the team.Also in terms of requirement, if you have someone with Code Red (FactSet RMS) development experience it’ll be a plus.  Looking for a candidate with 5+ years, the industry experience is as important as the technical.  Minimum BS/CS with 8+ years of experience with .NET web development.Proven experience in design, development and implementation of large-scale and multi-user applications.Strong experience with data modeling and problem solving skillsVery strong with C#, .NET and ASP.NET frameworkGood experience with RESTful web services using .NET Web APIVery strong in GUI web development using JavaScript and AngularJS 1 or AngularJS 2 / SPAExpertise in relational database design and building database stored procedures using T/SQLExcellent written and oral communication skills","Boston, MA",".NET Web Developer, Investments",2 days ago,"SQL, C#, Java Scrip, Angular, Excel VBA, GitHub, RESTful, ASP.NET"
INSYS Group,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 12 months +",""" •Provide hands-on leadership for the design and development of ETL data flows using Hadoop and Spark ECO system components. Leading the develop of large-scale, highspeed, and low-latency data solutions in the areas of large scale data manipulation, long-term data storage, data warehousing, low-latency retrieval systems, real-time reporting and analytics Data applications - visualization, BI, dashboards, ad-hoc analytics•Design & implement work flow jobs using Talend & Unix / Linux scripting to perform ETL on Hadoop platform•Translate complex functional and technical requirements into detailed design•Perform analysis of data sets and uncover insights•Maintain security and data privacy•Propose best practices/standards•Work with the System Analyst and development manager on a day-to-day basis•Work with other team members to accomplish key development tasks•Work with service delivery (support) team on transition and stabilization•Design and develop optimal solutions for the implementation, maintenance and monitoring of all components of software•Responsible for integrating all development with the architecture used across the company•Help shape and augment team's continuous delivery capabilities and utilize DevOps best practices to improve delivery automation, collaboration, and efficiency""""QualificationsTo be considered for this position, applicants need to meet the qualifications listed in this posting.Required Qualifications:•4+ years Java experience•1+ years Hive, Pig, Map Reduce, and/or Hadoop ECO system framework experiencePreferred Qualifications:•Team lead experience•ETL development experience•ETL data flows experience•Apache Spark•Talend experience•Unix/Linux Scripting experience•Shell Scripting experience•Python experience•HBase experience•NoSQL experience•Scala experience•JSON experience•REST experience•Sqoop experience•Flume experience•Data warehouse implementation experience""","Basking Ridge, NJ",Tech Lead,1 day ago,technical lead
INSYS Group,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 12 months +",""" •Provide hands-on leadership for the design and development of ETL data flows using Hadoop and Spark ECO system components. Leading the develop of large-scale, highspeed, and low-latency data solutions in the areas of large scale data manipulation, long-term data storage, data warehousing, low-latency retrieval systems, real-time reporting and analytics Data applications - visualization, BI, dashboards, ad-hoc analytics•Design & implement work flow jobs using Talend & Unix / Linux scripting to perform ETL on Hadoop platform•Translate complex functional and technical requirements into detailed design•Perform analysis of data sets and uncover insights•Maintain security and data privacy•Propose best practices/standards•Work with the System Analyst and development manager on a day-to-day basis•Work with other team members to accomplish key development tasks•Work with service delivery (support) team on transition and stabilization•Design and develop optimal solutions for the implementation, maintenance and monitoring of all components of software•Responsible for integrating all development with the architecture used across the company•Help shape and augment team's continuous delivery capabilities and utilize DevOps best practices to improve delivery automation, collaboration, and efficiency""""QualificationsTo be considered for this position, applicants need to meet the qualifications listed in this posting.Required Qualifications:•4+ years Java experience•1+ years Hive, Pig, Map Reduce, and/or Hadoop ECO system framework experiencePreferred Qualifications:•Team lead experience•ETL development experience•ETL data flows experience•Apache Spark•Talend experience•Unix/Linux Scripting experience•Shell Scripting experience•Python experience•HBase experience•NoSQL experience•Scala experience•JSON experience•REST experience•Sqoop experience•Flume experience•Data warehouse implementation experience""","Basking Ridge, NJ",Tech Lead,4 days ago,technical lead
Akshaya Inc,Contract W2,"* 6+ years of experience in business analysis* Who knows how to write the following doco Use Caseso diagrams (Activity, Class, Sequence)o Business Requirements Document (BRD)o Functional Requirement Document (FRD)* Good communication skills.Contact - Pooja (510-936-4196)","Los Angeles, CA",Business Analyst- Health Care,2 days ago,Business Anlyst with health care experience
Akshaya Inc,Contract W2,"* 6+ years of experience in business analysis* Who knows how to write the following doco Use Caseso diagrams (Activity, Class, Sequence)o Business Requirements Document (BRD)o Functional Requirement Document (FRD)* Good communication skills.Contact - Pooja (510-936-4196)","Los Angeles, CA",Business Analyst- Health Care,2 days ago,Business Anlyst with health care experience
Affinity Resource Group (MRI),"Contract Independent, Contract W2","** Please send resumes to jack@affinityny.com before calling **** No 3rd party vendors please - we cannot work with agencies C2C ** A major investment bank is looking for a well-rounded individual to play a significant Project Management role in the firm’s Market Risk implementation. This individual must be well-versed with the complexity of system implementation in a global, financial firm. Experience with front-office trading systems, OTC derivatives, and a variety of asset classes will translate well to this role, as the right individual will readily learn the subject matter; however, market risk experience is required. Who We AreWe are the technology partner to the Risk department of a major investment bank. We are tasked with the successful implementation of the technology deliverables for the Market Risk program. They are among the most highly visible initiatives in the organization. As such, this initiative provides a significant career platform for qualified candidates. Who You AreProject Manager with substantial, relevant experience at a major investment bank or the financial arm of a large corporationAnalytical thinker – Education in Computer Science, quantitative discipline, or financeBig picture thinker – must have the desire and instincts to understand the larger context of projects and initiatives and use this knowledge to effectively execute projects Requirements5+ years of formal Project/Program Management experience5+ years of financial services IT experienceAbility to influence and motivate people on your behalf, especially in a matrix environment5 years+ Market Risk Experience in an Investment Bank, in particular in support of the workout and restructuring processes.Ability to face off to, influence and engage senior (Director Level) stakeholders on the Business sideWorking with Application Services, introduce Agile/Scrum methodology onto the Platform to maintain both momentum and client interaction through the SDLCFinancial planning and tracking for programs up to €5m","New York, NY",Market Risk Project Manager,1 month ago,"Market Risk, Project Management, Program Management, Basel, OTC Derivatives, VaR"
